,Boroughs,Neighborhood,City,Country,latitude,longitude
79,Lichtenberg,Malchow,Berlin,Germany,53.4775641,12.4245172
80,Lichtenberg,Wartenberg,Berlin,Germany,52.5753945,13.5175821
81,Lichtenberg,Neu-Hohenschönhausen,Berlin,Germany,52.5663309,13.514065
82,Lichtenberg,Alt-Hohenschönhausen,Berlin,Germany,52.5504091,13.5025491
83,Lichtenberg,Fennpfuhl,Berlin,Germany,52.5287849,13.4734687
84,Lichtenberg,Rummelsburg,Berlin,Germany,54.0001478,16.9774717
85,Reinickendorf,Reinickendorf,Berlin,Germany,52.6047631,13.2952872
86,Reinickendorf,Tegel,Berlin,Germany,52.5873891,13.2790461
87,Reinickendorf,Konradshöhe,Berlin,Germany,52.5856837,13.2231978
88,Reinickendorf,Heiligensee,Berlin,Germany,52.6122549,13.2295789
89,Reinickendorf,Frohnau,Berlin,Germany,52.6323917,13.2878663
90,Reinickendorf,Hermsdorf,Berlin,Germany,50.7612626,13.6311967
91,Reinickendorf,Waidmannslust,Berlin,Germany,52.60599315,13.3210460691062
92,Reinickendorf,Lübars,Berlin,Germany,52.6146467,13.3530197
93,Reinickendorf,Wittenau,Berlin,Germany,52.5912366,13.3233195
94,Reinickendorf,Märkisches Viertel,Berlin,Germany,52.5993123,13.3565324
95,Reinickendorf,Borsigwalde,Berlin,Germany,52.5840624,13.3022741
